energy (meV)	absorption coefficient
248.17913442102457	4.1581779128399405e-05
247.94004081391742	4.12996817065492e-05
247.70094720681024	4.134222089417632e-05
247.4618535997031	4.061750182330312e-05
247.22275999259594	3.640273559340397e-05
246.98366638548876	3.1819130108642266e-05
246.7445727783816	3.238782322443176e-05
246.50547917127443	3.483937674027502e-05
246.26638556416728	3.504547037151205e-05
246.02729195706013	3.334371025477138e-05
245.78819834995298	3.0299378819957817e-05
245.5491059826878	2.6970754915170887e-05
245.31001237558064	2.4310009758333687e-05
245.0709187684735	2.1920632440276232e-05
244.8318251613663	1.9487409514222688e-05
244.59273155425913	1.7514283368894334e-05
244.35363794715198	1.5337410834738417e-05
244.11454434004483	1.1077538877856004e-05
243.87545073293768	7.02929254634943e-06
243.6363571258305	7.598620551181203e-06
243.39726351872335	1.027851402758443e-05
243.15816991161617	1.1390328143872702e-05
242.91907630450902	1.153306163996592e-05
242.67998269740187	1.151571902648775e-05
242.44088909029472	1.1532583540122348e-05
242.20179548318754	1.243227847479009e-05
241.9627018760804	1.3883658897153702e-05
241.72360826897324	1.4683683490549585e-05
241.48451466186606	1.4769677043692845e-05
241.2454210547589	1.3951889311308131e-05
241.00632744765176	1.1949724640335489e-05
240.76723384054458	1.2152210523384495e-05
240.52814023343743	1.6063556441018363e-05
240.28904662633028	1.93189515371397e-05
240.04995301922312	2.0214597089044958e-05
239.81085941211595	1.9648572692526786e-05
239.57176580500877	1.8203912252968267e-05
239.33267219790162	1.6316184735913762e-05
239.09357859079446	1.4088296725005535e-05
238.8544849836873	1.1067571657292938e-05
238.61539137658016	6.222406454331799e-06
238.376297769473	7.964355735761123e-08
238.1372041623658	-5.137537340950893e-06
237.89811055525865	-8.84659675410416e-06
237.6590169481515	-9.637059684560799e-06
237.41992334104435	-8.7123737707232e-06
237.1808297339372	-1.1026520192175104e-05
236.94173612683005	-1.6917929256695366e-05
236.70264251972284	-2.0738363177254007e-05
236.4635489126157	-1.9599061335180356e-05
236.22445530550854	-1.781730429762938e-05
235.9853616984014	-1.7670515231915108e-05
235.74626809129424	-1.7937355080977907e-05
235.50717448418706	-1.828395841394995e-05
235.2680808770799	-1.898046369639405e-05
235.02898850981472	-1.960617019440867e-05
234.78989490270757	-1.935518368694173e-05
234.55080129560042	-1.8819573138666132e-05
234.31170768849324	-1.8497251282354244e-05
234.0726140813861	-1.7720543306500707e-05
233.8335204742789	-1.7002655663985342e-05
233.59442686717176	-1.5868854492381473e-05
233.3553332600646	-1.3548996314271891e-05
233.11623965295746	-1.115944385413028e-05
232.8771460458503	-9.087885279116833e-06
232.6380524387431	-7.324444346557624e-06
232.39895883163595	-6.59731291758046e-06
232.1598652245288	-7.943026425993048e-06
231.92077161742165	-1.24510685303031e-05
231.6816780103145	-1.814905893365814e-05
231.44258440320735	-1.7792812474667018e-05
231.20349079610014	-1.2392129783429727e-05
230.964397188993	-8.052334450493213e-06
230.72530358188584	-6.328974641931412e-06
230.4862099747787	-6.017575915986496e-06
230.24711636767154	-5.789875525653581e-06
230.0080227605644	-5.54940508347265e-06
229.7689291534572	-6.3406611707676995e-06
229.52983554635003	-8.98545822671691e-06
229.29074193924288	-1.3775830726785489e-05
229.05164833213573	-1.9385868707070896e-05
228.81255472502858	-2.244466992290251e-05
228.57346111792143	-1.9123412299837425e-05
228.33436751081425	-1.2447444182949117e-05
228.0952739037071	-8.452424239090162e-06
227.85618029659992	-6.822186700686593e-06
227.61708668949277	-5.27767844247268e-06
227.37799308238561	-4.210083263045438e-06
227.13889947527844	-5.586647531380636e-06
226.89980586817128	-6.608436457628782e-06
226.66071226106413	-2.4875321348961018e-06
226.42161865395695	3.5005656759693742e-06
226.1825250468498	1.1158741180185574e-05
225.94343143974265	2.0510823055090535e-05
225.70433783263547	2.7961490379555466e-05
225.46524422552832	3.3615247644487906e-05
225.22615061842117	3.8507072509703925e-05
224.98705701131402	4.045913388997823e-05
224.74796340420684	3.85513250921622e-05
224.50887103694168	3.939593562631461e-05
224.2697774298345	4.731118300527155e-05
224.03068382272733	5.471220679515159e-05
223.79159021562018	5.6977531289536474e-05
223.55249660851302	5.629250132052248e-05
223.31340300140587	5.615612856984549e-05
223.07430939429872	5.704698930429791e-05
222.83521578719154	5.628894650986044e-05
222.5961221800844	5.2887850817162936e-05
222.3570285729772	4.8580722125341734e-05
222.11793496587006	5.071276598792477e-05
221.8788413587629	5.946697827764457e-05
221.63974775165576	6.565438662775045e-05
221.40065414454858	6.882652177806179e-05
221.16156053744143	6.998044080274316e-05
220.92246693033428	6.849812935281192e-05
220.6833733232271	6.780339475164869e-05
220.44427971611995	7.035419622334132e-05
220.20518610901277	7.120126729316937e-05
219.96609250190562	6.614971787485705e-05
219.72699889479847	6.037933857645611e-05
219.48790528769132	6.52431746942322e-05
219.24881168058414	7.485849314986066e-05
219.009718073477	8.288574632463015e-05
218.7706244663698	8.759338952370875e-05
218.53153085926266	8.99392001787185e-05
218.2924372521555	9.201071247110187e-05
218.05334364504836	9.216583105888726e-05
217.8142500379412	9.206434354636759e-05
217.57515643083403	9.390097036528863e-05
217.33606282372685	9.27764197984403e-05
217.0969692166197	8.660305678380498e-05
216.85787560951255	8.518142621468728e-05
216.6187820024054	9.363149683338726e-05
216.37968839529825	0.00010233036284509822
216.14059478819107	0.00010892794967817546
215.9015011810839	0.00011400889191466339
215.66240757397674	0.00011657013158402466
215.42331396686959	0.00011476379568467387
215.18422035976243	0.00010736966941021932
214.94512675265528	9.988581064510246e-05
214.7060331455481	0.00010361356931502223
214.46693953844093	0.00011059640271283297
214.22784717117577	0.00011515875888997388
213.98875356406862	0.00011628542835866483
213.74965995696144	0.00011480332198522373
213.5105663498543	0.00011134014872927892
213.2714727427471	0.00010376443651946377
213.03237913563996	8.888553813753028e-05
212.7932855285328	7.690931569912521e-05
212.55419192142566	8.418766622947545e-05
212.3150983143185	9.424533052031753e-05
212.07600470721133	9.900559117499515e-05
211.83691110010415	9.834095241735766e-05
211.597817492997	9.400783813962767e-05
211.35872388588984	8.931352663861557e-05
211.1196302787827	8.534432572833985e-05
210.88053667167554	7.843422852590183e-05
210.6414430645684	7.142163231898514e-05
210.40234945746118	7.73246267008294e-05
210.16325585035403	9.48883203885074e-05
209.92416224324688	0.00010821955654767623
209.68506863613973	0.0001136694867377629
209.44597502903258	0.00011426422711450514
209.2068814219254	0.0001107202907588542
208.96778781481822	0.00010376995857456887
208.72869420771107	0.0001043971335002815
208.48960060060392	0.00011695313482839335
208.25050699349677	0.00012575579257607442
208.01141338638962	0.00012784713114079264
207.77231977928244	0.00012464529169895977
207.5332261721753	0.0001221837564700247
207.2941325650681	0.0001201686929703847
207.05503895796096	0.00011537963473241419
206.8159453508538	0.00011805768370936001
206.57685174374666	0.00012343219893705103
206.33775813663948	0.00012237403548020335
206.09866452953233	0.00012006205962665742
205.85957092242518	0.0001227373401256742
205.620477315318	0.000123307217066505
205.38138370821085	0.00011800423808909857
205.1422901011037	0.00010771908078602783
204.90319649399652	0.00010157264602600978
204.66410288688937	0.00010493628858442946
204.42500927978222	0.00010211548780634257
204.18591567267507	9.818890629001298e-05
203.9468220655679	0.00010567065254334473
203.70772969830273	0.00011262960288486137
203.46863609119555	0.00011306413981207582
203.22954248408837	0.00010715338045724842
202.99044887698122	9.733905958724647e-05
202.75135526987407	0.00010009464179746437
202.51226166276692	0.00011525984750402246
202.27316805565977	0.0001229712565020401
202.0340744485526	0.00012530498895388438
201.7949808414454	0.00012589820674282755
201.55588723433826	0.0001254983326620901
201.3167936272311	0.0001261245462011638
201.07770002012396	0.00013097095720418487
200.83860641301678	0.00013401160086587956
200.59951280590963	0.00013299797480208013
200.36041919880248	0.0001365248635157819
200.1213255916953	0.00014482811462735736
199.88223198458815	0.00014955229087054372
199.643138377481	0.00015088396722295083
199.40404477037382	0.0001513244079538618
199.16495116326666	0.00015261193031615005
198.9258575561595	0.000153401357307879
198.68676394905236	0.00015348984917143
198.44767034194518	0.0001543287303519258
198.20857673483803	0.00015483662576575632
197.96948312773085	0.00015381907940542456
197.7303895206237	0.00015275090153323823
197.49129591351655	0.0001527805807405316
197.2522023064094	0.00015367157925605515
197.01310869930222	0.00015590438484696945
196.77401509219504	0.00015905676047820084
196.5349214850879	0.00016166216420744405
196.29582787798074	0.0001633095106006303
196.0567342708736	0.00016388314142587977
195.81764066376644	0.00016205863477498718
195.5785470566593	0.00015809868652688378
195.33945344955208	0.00016067746889793596
195.10035984244493	0.0001681421426563418
194.86126623533778	0.00017012784627574575
194.62217262823063	0.0001719969949326137
194.38307902112348	0.00018051544849151675
194.14398541401633	0.00018823513579298846
193.90489180690915	0.00019177675126241735
193.66579819980197	0.00019135270885294715
193.42670459269482	0.00018555260522797002
193.18761222542966	0.0001835885476317654
192.94851861832248	0.00019490940560485466
192.70942501121533	0.00020414168788438172
192.47033140410815	0.00020894289002980468
192.231237797001	0.00021097985072184852
191.99214418989385	0.00021346971951000565
191.7530505827867	0.00021177088594266871
191.51395697567952	0.00020013982722222147
191.27486336857237	0.00018212711124102648
191.0357697614652	0.00017988848200437655
190.79667615435804	0.00020252597258943065
190.5575825472509	0.00021066292749209576
190.31848894014374	0.00020870358367936983
190.0793953330366	0.000211387916887508
189.84030172592938	0.0002217224030477913
189.60120811882223	0.00022576309841828025
189.36211451171508	0.00022075274658543855
189.12302090460793	0.00021346620595321064
188.88392729750078	0.0002085727586866412
188.64483369039363	0.0002046412359417226
188.40574008328645	0.0002055791735784052
188.16664647617927	0.00021176441374780872
187.92755286907212	0.00022233039848206955
187.68845926196497	0.00022981849002778453
187.44936565485781	0.0002279326806927752
187.21027204775066	0.00021732975317741528
186.97117844064348	0.00020746954207075967
186.73208483353633	0.0002261999903509934
186.49299122642915	0.0002429730478554192
186.253897619322	0.00024667753024772143
186.01480401221485	0.00024603939209871887
185.7757104051077	0.00024280179707835385
185.53661679800052	0.00024397122104383783
185.29752319089337	0.0002513457098654525
185.0584295837862	0.0002544006473875711
184.81933597667904	0.000250159591425367
184.5802423695719	0.00024609650921273324
184.3411487624647	0.00025092874189770704
184.10205515535756	0.0002571357695965099
183.8629615482504	0.0002599361429070873
183.62386794114326	0.00025907191714238535
183.38477433403608	0.0002545898826468145
183.14568072692893	0.0002446209059764094
182.90658711982175	0.00022986694352368717
182.66749475255656	0.00022072894928732806
182.4284011454494	0.00022762006427064566
182.18930753834226	0.00023551980256942276
181.9502139312351	0.00023674679270155923
181.71112032412796	0.0002335078592034404
181.47202671702078	0.00023003375625391728
181.23293310991363	0.00022714278858273327
180.99383950280645	0.00022062266155717394
180.7547458956993	0.00020866330524794117
180.51565228859215	0.00020951797926147954
180.276558681485	0.0002214987905473933
180.03746507437782	0.00022851537740922924
179.79837146727067	0.00023009776270857885
179.5592778601635	0.0002290552127051667
179.32018425305634	0.00022958027052767416
179.0810906459492	0.00023143814466614683
178.84199703884204	0.0002327477980135792
178.60290343173486	0.00023233462352516835
178.3638098246277	0.00022868173387947274
178.12471621752056	0.00022536651120089095
177.88562261041338	0.00022876574618069416
177.64652900330623	0.00023194797670210998
177.40743539619905	0.00023177459111046463
177.1683417890919	0.00023159578688328652
176.92924818198475	0.00023199808699991467
176.6901545748776	0.000231500549625846
176.45106096777045	0.00023076370306107096
176.21196736066327	0.00022970223248368658
175.9728737535561	0.00022766479381433103
175.73378014644894	0.000229236765136082
175.49468653934179	0.00023344637066827887
175.25559293223463	0.00023508832770279586
175.01649932512748	0.00023455773025014132
174.7774057180203	0.00023381056301498152
174.53831211091313	0.0002322802872177542
174.29921850380597	0.00022850589687396108
174.06012489669882	0.00022462179081763633
173.82103128959167	0.00022239987572647302
173.58193768248452	0.00022010461255568808
173.34284407537734	0.00021797825797496387
173.10375046827016	0.00021739246819838805
172.864656861163	0.00022036313930076258
172.62556325405586	0.00022596851980427105
172.38647088679068	0.0002291444172284786
172.14737727968352	0.00022921163696471315
171.90828367257637	0.00023026899555756293
171.6691900654692	0.00023417226744151202
171.43009645836204	0.00023802470387693266
171.1910028512549	0.00024087733211798203
170.95190924414774	0.00024276871835488543
170.71281563704056	0.0002430123576140881
170.47372202993338	0.0002440719186775403
170.23462842282623	0.00025166066847045153
169.99553481571908	0.0002618058126663676
169.75644120861193	0.00026901059190420016
169.51734760150478	0.0002739556254218804
169.27825399439763	0.00027665939826628937
169.03916038729042	0.00027913792378354125
168.80006678018327	0.0002869554915807165
168.56097317307612	0.00029733802411767896
168.32187956596897	0.00030475409038636177
168.08278595886182	0.000309908379094567
167.84369235175467	0.00031483593842058475
167.60459874464746	0.00031962769379645194
167.3655051375403	0.0003242534463676967
167.12641153043316	0.0003295655018058657
166.887317923326	0.0003354374908290464
166.64822431621886	0.0003406917908596465
166.40913070911168	0.00034394005391887164
166.17003710200453	0.0003462861915090452
165.93094349489735	0.0003528289400553423
165.6918498877902	0.000363115221387839
165.45275628068305	0.00037179830899753834
165.2136626735759	0.00037800448736492135
164.97456906646872	0.0003839359067262739
164.73547545936157	0.0003914962237536022
164.49638185225442	0.00040036225985742803
164.25728824514724	0.000409673293918823
164.0181946380401	0.00041881695665028896
163.77910103093294	0.0004272955029547635
163.54000742382576	0.0004362657888441462
163.3009138167186	0.000446548535919516
163.06182020961145	0.0004574152283173633
162.82272660250428	0.0004694630106206462
162.58363299539712	0.00048260095887849735
162.34453938828997	0.0004949834969090417
162.1054457811828	0.0005063731034461279
161.8663534139176	0.0005177510029291345
161.62725980681046	0.0005298781026952473
161.3881661997033	0.0005431821515474966
161.14907259259616	0.0005569520345236439
160.909978985489	0.0005699118171134177
160.67088537838183	0.0005814659719073138
160.43179177127465	0.000591884387604098
160.1926981641675	0.0006016694808040748
159.95360455706034	0.0006117388572212993
159.7145109499532	0.0006233523600828521
159.47541734284604	0.0006357702374275082
159.23632373573886	0.0006470347403720439
158.9972301286317	0.0006567291041328292
158.75813652152453	0.0006657751093723922
158.51904291441738	0.0006750921321936041
158.27994930731023	0.0006840277160019339
158.04085570020305	0.0006913648002621367
157.8017620930959	0.000698442151960908
157.56266848598875	0.0007080089746592721
157.32357487888157	0.0007196865868192452
157.08448127177442	0.0007316711219829486
156.84538766466727	0.0007441088089704845
156.6062940575601	0.0007566385799461853
156.36720045045294	0.0007683890110476042
156.1281068433458	0.0007803548852893912
155.88901323623864	0.0007940603160076435
155.64991962913146	0.0008087210623465747
155.4108260220243	0.0008229032968962607
155.17173241491713	0.0008368174637083104
154.93263880780998	0.0008506021567307581
154.69354520070283	0.0008639164699800226
154.45445159359568	0.0008763848806909527
154.21535798648853	0.000887567997899208
153.97626437938132	0.0008978742719955478
153.73717077227417	0.0009081959496296398
153.49807716516702	0.0009194013228253365
153.25898355805987	0.0009313812379638176
153.01988995095272	0.0009425046460961405
152.78079634384557	0.0009512344966861625
152.5417027367384	0.0009575161376469269
152.3026091296312	0.0009629209411239267
152.06351552252406	0.0009687750725033934
151.8244219154169	0.0009744985570646512
151.58532830830976	0.000979904288296473
151.34623594104457	0.0009859298169256005
151.1071423339374	0.0009920917128227852
150.86804872683024	0.0009980087189592904
150.6289551197231	0.001004439993022665
150.38986151261594	0.001010936774879168
150.15076790550876	0.0010165516041018689
149.9116742984016	0.001021198404642987
149.67258069129443	0.0010251503746240755
149.43348708418728	0.0010287973864960128
149.19439347708013	0.0010327355289902972
148.95529986997298	0.0010369563533929212
148.71620626286582	0.0010405681930248218
148.47711265575865	0.0010430664549820744
148.23801904865147	0.0010446200387699528
147.99892544154432	0.0010455552014497773
147.75983183443716	0.001046284990678081
147.52073822733	0.0010476550175842713
147.28164462022286	0.0010499873098337748
147.04255101311568	0.0010517525798901487
146.8034574060085	0.001051969342750764
146.56436379890135	0.001051787685264985
146.3252701917942	0.0010516896701875593
146.08617658468705	0.0010509092331805474
145.8470829775799	0.0010499568562168302
145.60798937047272	0.0010492292423990239
